Date Posted,Link,Text,Region,Username,Publisher,Label
2/29/20,https://twitter.com/CDCgov/status/1233891883195211780,"Reports of community spread of #COVID19 in California, Oregon & Washington raise concern about the immediate threat for COVID-19 for certain communities in the US. However, most people in the U.S. have little immediate risk of exposure to the virus.  https://bit.ly/32ANNYD ",United States,cdcgov,CDC,1
2/29/20,https://twitter.com/CDCgov/status/1233891884742868992,Some people in the US will be at increased risk of #COVID19 depending on their exposures. The greatest risk is to those who are in close contact with people with COVID-19. People with suspected or confirmed exposure should reach out to their healthcare provider.,United States,cdcgov,CDC,1
2/29/20,https://twitter.com/guardiannews/status/1233894932240269322,NHS plans to deploy 'Dad's Army' of retired doctors if Covid-19 spreads  https://www.theguardian.com/world/2020/feb/29/nhs-dads-army-plan-for-coronavirus-spread-pandemic-strategy?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583015164 ,Europe,guardiannews,Guardian news,1
2/29/20,https://twitter.com/IndiaToday/status/1233772660204527616,"India admirably stepped up to the task of arresting the spread of COVID-19. Yet all the measures it took were immediate and short term. Is India equipped to deal with a Wuhan-sized epidemic?  
#IndiaTodayMagazine https://www.indiatoday.in/magazine/the-big-story/story/20200309-are-we-ready-1650476-2020-02-28 ",India,indiatoday,IndiaToday,1
2/29/20,https://twitter.com/the_hindu/status/1233565081901858817,"""We have now increased our assessment of the risk of spread and the risk of impact of COVID-19 to very high at global level, says WHO chief Tedros Adhanom Ghebreyesus 
 https://trib.al/NnOobD8 ",India,the_hindu,The Hindu,1
2/29/20,https://twitter.com/the_hindu/status/1233833642763276288,Just in: #Trump bans travel to #US from #Iran; urges Americans not to travel to areas in #Italy and #SouthKorea hit by COVID-19.,India,the_hindu,The Hindu,1
3/1/20,https://twitter.com/guardiannews/status/1234106174364057601,Matt Hancock says Covid-19 outbreak could force UK to shut down cities  video  https://www.theguardian.com/world/video/2020/mar/01/matt-hancock-says-covid-19-outbreak-could-force-uk-to-shut-down-cities-video?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583067848 ,Europe,guardiannews,Guardian news,1
3/1/20,https://twitter.com/IndiaToday/status/1234179114778513413,"Kerala Chief Minister Pinarayi Vijayan on Sunday sought intervention of External Affairs Ministry to ensure safe return of the Indian fishermen trapped in Covid-19 infected Iran.
 https://www.indiatoday.in/india/story/kerala-cm-pinarayi-vijayan-writes-to-jaishankar-seeks-evacuation-of-stranded-kerala-fishermen-from-iran-1651413-2020-03-01 ",India,indiatoday,IndiaToday,1
3/2/20,https://twitter.com/IndiaToday/status/1234483123909537792,"#Coronavirus | 24-year-old techie from Bengaluru tests positive for Covid-19 in Hyderabad, around 80 people he had interacted with are being placed under watch.
(@Ashi_IndiaToday) https://www.indiatoday.in/india/story/coronavirus-covid-19-india-case-update-bengaluru-techie-hyderabad-bus-1651702-2020-03-02 ",India,indiatoday,IndiaToday,1
3/2/20,https://twitter.com/the_hindu/status/1234475956338921472,"Sensex closed 153.27 points lower at 38,144.02 on Monday as detection of fresh COVID-19 cases in India spooked domestic investors.
#Sensex #Coronavirus #COVID-19
 https://trib.al/CpfntoO ",India,the_hindu,The Hindu,1
3/2/20,https://twitter.com/the_hindu/status/1234420890592366593,#COVID-19 #Iran has reported 978 confirmed cases of #coronavirus which has left 24 people dead in the country http://bit.ly/2TvDUHp ,India,the_hindu,The Hindu,1
3/2/20,https://twitter.com/the_hindu/status/1234424099461427201,"#COVID-19 We have already started contact tracing for family and office members of the two new cases that have detected positive today (Monday), says Health Minister",India,the_hindu,The Hindu,1
3/2/20,https://twitter.com/the_hindu/status/1234481497786048514,Just in | A 24 year old man from #Hyderabad who works at a software company tested positive for #COVID 19.,India,the_hindu,The Hindu,1
3/2/20,https://twitter.com/washingtonpost/status/1234602753147666433,"Public health officials say the novel coronavirus is less deadly than SARS. But epidemiologists are still trying to determine exactly how deadly covid-19 is.

About 2 percent of reported cases have been fatal, but experts say the death rate could be lower.  https://wapo.st/2vvZbZu ",United States,washingtonpost,The Washington Post,1
3/2/20,https://twitter.com/washingtonpost/status/1234603855301705730,"Covid-19 spreads more easily than SARS and is similar to other coronaviruses that cause cold-like symptoms. It appears to be highly transmissible, and since cases are mild, the disease may be more widespread than current testing numbers suggest.  https://wapo.st/2VHWxKX ",United States,washingtonpost,The Washington Post,1
3/3/20,https://twitter.com/guardiannews/status/1234963911872479238,Thousands of intensive care patients to be tested for Covid-19  https://www.theguardian.com/world/2020/mar/03/thousands-of-intensive-care-patients-to-be-tested-for-covid-19?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583271691 ,Europe,guardiannews,Guardian news,1
3/3/20,https://twitter.com/IndiaToday/status/1234686802948050945,"New diagnoses in several states pushed the tally of #COVID-19 cases past 100, and New Hampshire reported its first case, raising the total of affected states to 11. 
#Coronavirus #UnitedStates https://www.indiatoday.in/world/story/coronavirus-outbreak-us-testing-virus-spreading-america-1651812-2020-03-03 ",India,indiatoday,IndiaToday,1
3/3/20,https://twitter.com/IndiaToday/status/1234717001857171456,"According to the WHO, there are 89,527 confirmed COVID-19 cases and 3,056 deaths reported globally in 67 countries.
#coronavirus #world https://www.indiatoday.in/world/story/coronavirus-death-toll-china-1651862-2020-03-03 ",India,indiatoday,IndiaToday,1
3/3/20,https://twitter.com/IndiaToday/status/1234828556925947905,"Worldwide 1952 new COVID-19 cases reported on Tuesday, bringing the total number of cases in the country to 92,275. 
#DIU
(Report: @DipuJourno) pic.twitter.com/9eXzPPsFYH",India,indiatoday,IndiaToday,1
3/3/20,https://twitter.com/the_hindu/status/1234718899222065152,"An #Italian tourist, who landed here on February 29, was tested positive for COVID-19 in his second medical examination

#coronavirus http://bit.ly/3cpBkLN ",India,the_hindu,The Hindu,1
3/4/20,https://twitter.com/guardiannews/status/1235091886722908160,Majority of retired NHS staff don't want to return to tackle Covid-19 crisis  https://www.theguardian.com/world/2020/mar/04/majority-of-retired-nhs-staff-dont-want-to-return-to-tackle-covid-19-crisis?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583303719 ,Europe,guardiannews,Guardian news,1
3/4/20,https://twitter.com/IndiaToday/status/1235089265521864704,"#Coronavirus | Can mask really protect you from Covid-19? Read here to know.
(@ganeshkumarRU7) https://www.indiatoday.in/india/story/coronavirus-in-india-masks-1652257-2020-03-04 ",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235102263540101120,"#Hyderabad: 45 of the 47 collected samples test negative. Listen in to @Ashi_IndiaToday for more details.
#ITVideo #Coronavirus #Covid_19 pic.twitter.com/zhyLVm2neS",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235137352420536321,"How prepared is #Delhi government to battle #coronavirus outbreak? 
@PoojaShali shares the information. 
#ITVideo #Covid_19 #CoronaAlert pic.twitter.com/sb8XIQDq08",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235061380954411018,"#Coronavirus #Covid_19 | Thermal screening at various airports in #India. 
@AishPaliwal from #Delhi's IGI and #shalinilobo 93 from #Chennai airport report LIVE. #ITVideo pic.twitter.com/zxa3tPPaiC",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235136655872454656,"#Coronavirus: Is there a need to panic? Here's what Dr. Rodrico Ofrin of WHO has to say.
#ITVideo #Covid_19 #CoronaAlert | @AishPaliwal pic.twitter.com/eKQrRDGWKu",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235136064249122817,#Delhi CM Arvind Kejriwal says currently two labs are in #Delhi to test the virus. #ITVideo #Covid_19 #coronavirus pic.twitter.com/grbhlZaEaO,India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235077020159225856,"#Coronavirus | What is Covid-19? How it spreads? 
#ITVideo #Covid_19 pic.twitter.com/6IzYFFVLkm",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235150944020697090,"Rahul Gandhi should be screened for #coronavirus, says BJP minister
#ITVideo #Covid_19 pic.twitter.com/ytzUZmHw4z",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235107584463589376,#Coronavirus: Screening takes place on airports. India Today's @PoojaShali shares the latest about #Covid_19. #ITVideo pic.twitter.com/dDxFtUNbOr,India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235090833101201408,Health Minister review meeting to take place today. #Coronavirus remains prime focus.  #ITVideo #Covid_19 pic.twitter.com/a7uTvimYPy,India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/IndiaToday/status/1235116196716072960,"After PM Modi, Union Minister @AmitShah also plans to skip #Holi events. #ITVideo #Covid_19 #Coronavirus | @PoulomiMSaha pic.twitter.com/ERayq0wXer",India,indiatoday,IndiaToday,1
3/4/20,https://twitter.com/the_hindu/status/1235175659296747522,"Watch | With new cases of COVID-19 being confirmed in India, the Health Ministry has stepped up efforts to check the spread of the virus. Here's a list of dos and dont's released by the Health Ministry.

#CoronaAlert
#coronavirus http://bit.ly/39oxe4y ",India,the_hindu,The Hindu,1
3/4/20,https://twitter.com/the_hindu/status/1235101493075660800,"Live | 15 Italian tourists and one Indian driver have tested positive for COVID19. They were part of the same group as an Italian couple tested positive for COVID-19 in #Rajasthan
 http://bit.ly/2VGtmYM ",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/CDCgov/status/1235565826473955328,"#HCPs: The COCA Call today at 2 pm ET will also be available on COCA's Facebook profile via Facebook Live! Topic: ""What Clinicians Need to Know to Prepare for COVID-19 in the U.S. Learn more about the event at  https://bit.ly/2TDhwfd . pic.twitter.com/WF1up6kz5k",United States,cdcgov,CDC,1
3/5/20,https://twitter.com/IndiaToday/status/1235604699417624576,"The number of #Coronavirus cases in India climbed to 30 after a Ghaziabad man tested positive for Covid-19, who recently travelled to #Iran. Watch this report for a detailed understanding of this deadly virus. 
#InDepth with @Ankit_Tyagi01 :  https://bit.ly/2TBRb1c  pic.twitter.com/0wknOSatkY",India,indiatoday,IndiaToday,1
3/5/20,https://twitter.com/IndiaToday/status/1235454898554232833,"Paytm employee tests positive for Covid-19.
Listen in to India Today's @AishPaliwal for more on this.
#Coronavirus #ITVideo pic.twitter.com/gueCa9FaZh",India,indiatoday,IndiaToday,1
3/5/20,https://twitter.com/ndtv/status/1235445416969175040,"Watch | ""Regular surveillance initiated across the country for all cases having travel history from COVID-19 affected countries"": Union Health Minister Harsh Vardhan amid #coronavirus outbreak pic.twitter.com/SDNfETG2ia",India,ndtv,NDTV,1
3/5/20,https://twitter.com/the_hindu/status/1235556158619951104,"The rupee snapped its four-session losing run on Thursday to close 6 paise higher at 73.33 against the U.S. dollar amid hopes that efforts by countries and global agencies would offset financial damage from COVID-19 outbreak
#Rupee #COVID19 #Coronavirus
 https://trib.al/xOux50T ",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/the_hindu/status/1235546052532396032,"An isolation ward containing 14 beds has been set up at NDMC-run Bara Hindurao Hospital in New Delhi for coronavirus (COVID-19) patients, North Delhi Mayor Avtar Singh said on Thursday.
#NDMC #Coronavirus #COVID19
 https://trib.al/UOd7ugv ",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/the_hindu/status/1235537181172813829,"Giving up most early gains, equity benchmark Sensex ended 61.13 points higher on Thursday as domestic investors weighed the impact of rising coronavirus cases in the country.
#Sensex #COVID-19 #Coronavirus
 https://trib.al/K9RxlNg ",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/the_hindu/status/1235526255098892290,"Though the common man in Adilabad town has no reason to suspect the arrival of COVID-19 in Adilabad, there is a lot of buzz generated here, thanks to the attention that the social media has bestowed upon it.
#COVID19 #Coronavirus #Adilabad
 https://trib.al/HCME9Tc ",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/the_hindu/status/1235457535588675584,"Letter provides detailed instructions on methods which will help to prevent the spread of not only COVID-19 but also other communicable diseases, particularly flu-like illnesses   https://trib.al/GLYJK4M 
#coronavirusinindia",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/the_hindu/status/1235619272380080129,"Almost 300 million students worldwide faced weeks at home with Italy and India the latest to shut schools over COVID-19 outbreak
#COVID19 #Coronavirus #schools
 https://trib.al/aTQjYKv ",India,the_hindu,The Hindu,1
3/5/20,https://twitter.com/washingtonpost/status/1235607016569294848,"A dog has a ""low-level"" coronavirus infection.

But don't panic about covid-19 in pets, experts say.  https://wapo.st/39pVjbb ",United States,washingtonpost,The Washington Post,1
3/5/20,https://twitter.com/washingtonpost/status/1235594422538170368,"Two more people hospitalized with covid-19 in New York City.

Live updates:  https://wapo.st/2vHT9VJ ",United States,washingtonpost,The Washington Post,1
3/6/20,https://twitter.com/guardiannews/status/1236022264577101825,GPs told to switch to digital consultations to combat Covid-19  https://www.theguardian.com/world/2020/mar/06/gps-told-to-switch-to-remote-consultations-to-combat-covid-19?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583524553 ,Europe,guardiannews,Guardian news,1
3/6/20,https://twitter.com/guardiannews/status/1236037975307403264,Don't touch your face!': website watches you to help you avoid Covid-19  https://www.theguardian.com/world/2020/mar/06/dont-touch-your-face-website-tracks-you-to-help-you-avoid-covid-19?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583526560 ,Europe,guardiannews,Guardian news,1
3/6/20,https://twitter.com/IndiaToday/status/1235788544062324737,"As world battles Covid-19, WHO says no time for excuses
#coronavirus https://www.indiatoday.in/world/story/coronavirus-who-chief-calls-for-global-action-1652943-2020-03-06 ",India,indiatoday,IndiaToday,1
3/6/20,https://twitter.com/IndiaToday/status/1235787141973753856,"""This is a critical moment in the growing outbreak of COVID-19 in King County,"" the county said in a statement. #coronavirus https://www.indiatoday.in/world/story/coronavirus-cases-surge-us-helicopter-flies-test-kits-cruise-ship-1652925-2020-03-06 ",India,indiatoday,IndiaToday,1
3/6/20,https://twitter.com/ReutersUK/status/1235994203223715840,"$2 billion needed to develop COVID-19 shot, says epidemic response group  https://reut.rs/2PSEeii  pic.twitter.com/pZulEhlgMF",Europe,reutersuk,Reuters UK,1
3/6/20,https://twitter.com/the_hindu/status/1235729312508067840,"Amid reports of the COVID-19 outbreak in China affecting the Indian pharma industry, Union Chemicals and Fertilizers Minister Sadanand Gowda on Thursday said there is no shortage of active pharmaceutical ingredients.
 https://trib.al/l56xlTh 
#COVID19 #China #pharmaceuticals",India,the_hindu,The Hindu,1
3/6/20,https://twitter.com/the_hindu/status/1235758871005646848,"#COVID19 live updates | Australia ordered its first school closure on Friday after a 16-year-old pupil tested positive for the COVID-19. 
 http://bit.ly/3axEmMm ",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/guardiannews/status/1236348682712334337,Coronavirus UK: total infected with Covid-19 passes 200  https://www.theguardian.com/world/2020/mar/07/uk-coronavirus-total-infected-covid-19-passes-200?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583598027 ,Europe,guardiannews,Guardian news,1
3/7/20,https://twitter.com/the_hindu/status/1236093481019465729,"UN rights chief Michelle Bachelet said the response to #COVID-19 must place human dignity and rights at its centre.
 https://trib.al/Ejzjg0H ",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236142026686676992,#COVID-19 | According to Johns Hopkins Coronavirus tracker at least 299 cases of #coronavirus have been detected in the U.S. http://bit.ly/39wv5UE ,India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236136993521795073,"#COVID-19 | More than 100,300 people have been infected globally by #coronavirus, according to a Reuters tally based on statements from health ministries and government officials. Click the link below for live updates. http://bit.ly/38vzfLh ",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236131960168251392,"#COVID-19 | A 76-year-old tourist from the United States tested positive for #coronavirus in #Bhutan, triggering alarm in #Assam where he spent a considerable time before visiting the Himalayan country. http://bit.ly/333BKDh ",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236189841739649024,"#Coronavirus | In the wake of #COVID-19 cases in various parts of the country, #MataAmritanandamayi has stopped her daily darshan till further notice following instructions from the Health Department. http://bit.ly/2xcNSG9 ",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236126927414366208,"#COVID-19 | There were 99 fresh cases of infection in China, according to the National Health Commission, with a rise in new #coronavirus cases outside the virus epicentre of #Hubei province for a third consecutive day. http://bit.ly/2wxydB9 ",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236154609736896512,#COVID-19 | India has finally shared two whole genome sequence data of the novel #coronavirus (SARS-CoV-2) with the Global Initiative on Sharing All Influenza Data (GISAID). http://bit.ly/2VTaQwu ,India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236302056396189697,"Just In | Two foreign nationals were quarantined in #Goa Medical College and Hospital for suspected exposure to the novel #coronavirus (COVID-19), a senior State Health Department official said.",India,the_hindu,The Hindu,1
3/7/20,https://twitter.com/the_hindu/status/1236284641444691968,Confirmed #coronavirus (COVID-19) cases in India go up to 34: Officials.,India,the_hindu,The Hindu,1
3/8/20,https://twitter.com/CDCgov/status/1236766650382397440,"Older adults & ppl w/ severe chronic medical conditions like heart, lung, or kidney disease seem to be at higher risk for more serious COVID-19 illness. Learn ways to support older adults in your family & community if there is a #COVID19 outbreak:  https://bit.ly/38ofRQc . pic.twitter.com/W527QKLdus",United States,cdcgov,CDC,1
3/8/20,https://twitter.com/CDCgov/status/1236736553080229889,"Prevention actions for #COVID19 include: 
¢ Routinely clean/disinfect frequently touched surfaces and objects. 
¢ Wash your hands often with soap and water for at least 20 seconds.

Get more COVID-19 prevention tips:  https://bit.ly/2TrXBRE .",United States,cdcgov,CDC,1
3/8/20,https://twitter.com/guardiannews/status/1236620090092793856,We're concerned but calm': five voices from the frontline against Covid-19  https://www.theguardian.com/world/2020/mar/08/coronavirus-workers-frontline-teacher-gp-nurse-pharmacist-care-home?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583657207 ,Europe,guardiannews,Guardian news,1
3/8/20,https://twitter.com/IndiaToday/status/1236491937533681664,"There were rumours doing the rounds that drinking alcohol can protect you from Covid-19, but WHO has cleared the air claiming this rumour is FALSE.
#Coronavirus https://www.indiatoday.in/world/story/drinking-alcohol-will-not-protect-you-from-covid-19-says-who-1653555-2020-03-08 ",India,indiatoday,IndiaToday,1
3/8/20,https://twitter.com/the_hindu/status/1236476762755936261,"Three more cases of COVID-19 confirmed in India, taking the total number of cases in the country to 34

#CoronavirusOutbreak #COVID19India
 https://trib.al/P65tCjg ",India,the_hindu,The Hindu,1
3/8/20,https://twitter.com/the_hindu/status/1236474224728059906,"#Assam on a sanitising and quarantining overdrive along the route taken by a U.S. tourist during his tour of the State before leaving for Bhutan where he tested positive for COVID-19 on March 5

#coronavirus #CoronavirusOutbreak
 https://trib.al/CByiOBW ",India,the_hindu,The Hindu,1
3/8/20,https://twitter.com/the_hindu/status/1236503156302831617,"#Assam on a sanitising and quarantining overdrive along the route taken by a U.S. tourist during his tour of the State before leaving for Bhutan where he tested positive for COVID-19 on March 5

#coronavirus #CoronavirusOutbreak http://bit.ly/331jRFd ",India,the_hindu,The Hindu,1
3/8/20,https://twitter.com/the_hindu/status/1236540978716180480,"Five persons from Ranni in Pathanamthitta have been admitted to Pathanamthitta General Hospital with fever and symptoms of #COVID19 infection. With this, the total number of COVID-19 positive cases rises to 39.   http://bit.ly/2TPI9xx 
#Coronavirus",India,the_hindu,The Hindu,1
3/8/20,https://twitter.com/the_hindu/status/1236503156286251008,"PM Modi's visit to Bangladesh, which would be his first trip abroad in 2020, marks the latest of high-level visits to face hiccups over the CAA protests, the COVID-19 scare and other issues, writes 
@suhasinih
 http://bit.ly/2TNyOq7 
#NarendraModi #Bangladesh",India,the_hindu,The Hindu,1
3/8/20,https://twitter.com/the_hindu/status/1236489314894327811,"The number of COVID-19 cases has risen worldwide to more than 1,00,000, with 3,500 dead across 95 nations and territories. Here are the latest updates. 

#coronavirus #CoronavirusOutbreak http://bit.ly/2IuY13u ",India,the_hindu,The Hindu,1
3/9/20,https://twitter.com/CDCgov/status/1237123947902185482,"There are an estimated 110,000 cases of #COVID19 worldwide.  As of March 8, 34 states, New York City, & DC have reported nearly 500 cases of COVID-19.  Almost half of reported cases are in California & Washington State.  See Cases in the US:  https://bit.ly/3aNsqXL . pic.twitter.com/8BafmsOCNu",United States,cdcgov,CDC,1
3/9/20,https://twitter.com/IndiaToday/status/1236952109368496129,"#Holi, the festival of colours has been hit by #coronavirus (Covid-19) as people are scared to celebrate the festival.
 https://www.indiatoday.in/india/story/scared-to-celebrate-holi-due-to-coronavirus-people-of-guwahati-ghost-streets-vendors-1653959-2020-03-09 ",India,indiatoday,IndiaToday,1
